,word_vector,class_o,class_c,class_e,class_a,class_n
22,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 2, 2, 0]",0,0,1,0,0
23,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 3, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 3, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 1, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 0, 2, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 2, 0, 1, 0, 0, 1, 4, 2, 2, 0, 0, 0, 4, 0, 3, 7, 1, 6, 0, 0, 1, 3, 2, 2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 2, 3, 2, 5, 2, 2, 1, 5, 4, 0, 4, 1, 3, 3, 1, 12, 3, 9]",1,1,1,0,0
24,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 2, 0, 0, 0, 1, 2, 2, 0, 0, 3, 1, 0, 2, 0, 1, 2, 1, 0, 0, 0, 4, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 1, 2, 1, 3, 2, 2, 0, 1, 0, 3, 4, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 2, 1, 0, 1, 1, 1, 2, 2, 1, 0, 0, 0, 1, 1, 0, 6, 1, 1, 1, 4, 0, 2, 1, 4, 3, 0, 0, 2, 0, 2, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 2, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 3, 0, 1, 0, 0, 2, 1, 2, 3, 1, 3, 1, 0, 4, 0, 4, 0, 6, 3, 1, 1, 1, 1, 2, 4, 3, 3, 0, 2, 1, 6, 1, 0, 3, 1, 5, 1, 5, 1, 5, 0, 1, 3, 6, 5, 4, 4, 6, 3, 2, 0, 7, 18, 8]",0,0,1,0,0
25,"[1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 2, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 1, 1, 0, 1, 0, 1, 1, 0, 2, 1, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 2, 0, 3, 2, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 1, 1, 0, 2, 0, 0, 2, 2, 0, 1, 1, 1, 0, 0, 4, 0, 0, 3, 0, 0, 1, 0, 1, 0, 1, 0, 1, 7, 0, 3, 0, 0, 0, 3, 0, 2, 0, 0, 1, 1, 2, 0, 2, 1, 3, 0, 0, 1, 3, 1, 3, 5, 0, 0, 2, 0, 0, 3, 2, 7, 2, 0, 0, 2, 4, 0, 0, 1, 4, 0, 0, 2, 1, 2, 0, 3, 1, 4, 7, 5, 1, 1, 4, 1, 3, 2, 5, 1, 2, 3, 3, 3, 3, 5, 4, 4, 2, 0, 1, 1, 3, 1, 0, 2, 9, 3, 3, 1, 4, 4, 2, 6, 7, 2, 3, 5, 4, 13, 15, 11, 3, 16, 11]",0,1,0,0,1
26,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 1, 0, 1, 0, 2, 1, 0, 0, 0, 1, 0, 0, 4, 0, 1, 0, 1, 0, 0, 2, 0, 2, 2, 2, 0, 2, 0, 2, 5, 5, 1, 1, 0, 4]",1,1,0,0,0
27,"[1, 2, 0, 0, 3, 5, 0, 0, 2, 2, 0, 1, 1, 0, 1, 0, 0, 1, 3, 0, 6, 1, 0, 0, 0, 2, 0, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 2, 1, 0, 3, 0, 1, 0, 1, 0, 2, 0, 4, 0, 2, 1, 0, 0, 1, 1, 1, 2, 2, 3, 0, 0, 0, 2, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 2, 0, 3, 0, 1, 3, 0, 0, 5, 2, 0, 1, 1, 0, 0, 0, 3, 0, 2, 0, 0, 2, 0, 3, 1, 3, 2, 1, 0, 0, 0, 2, 0, 3, 0, 0, 0, 1, 3, 1, 1, 2, 1, 2, 0, 2, 14, 0, 3, 0, 0, 3, 1, 2, 5, 0, 1, 2, 1, 2, 7, 1, 3, 3, 1, 3, 0, 2, 1, 1, 0, 4, 1, 0, 2, 4, 0, 0, 3, 5, 5, 4, 4, 5, 2, 4, 2, 2, 2, 0, 2, 0, 1, 5, 1, 0, 4, 9, 1, 0, 6, 8, 5, 2, 2, 2, 5, 3, 9, 5, 1, 3, 4, 3, 18, 2, 2, 17, 12, 14, 21]",1,0,1,1,0
28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0,1,0
29,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 1, 0, 1, 0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 2, 1, 0, 0, 1, 1, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 2, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 2, 0, 0, 0, 2, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 2, 3, 2, 1, 1, 1, 2, 1, 2, 0, 0, 0, 1, 0, 0, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 2, 1, 1, 0, 1, 0, 3, 2, 2, 0, 3, 1, 0, 0, 1, 1, 3, 7, 8, 5, 8, 10, 2]",0,0,0,0,1
30,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 2, 2, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 2, 0, 1, 1, 4, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 0, 1, 3, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 2, 0, 1, 2, 0, 2, 1, 2, 2, 0, 2, 0, 4, 2, 1, 2, 0, 3, 2, 0, 0, 1, 0, 1, 3, 0, 1, 5, 0, 1, 3, 2, 1, 1, 3, 2, 1, 1, 1, 0, 4, 0, 0, 1, 1, 0, 1, 1, 1, 0, 2, 6, 0, 2, 2, 2, 3, 3, 2, 1, 3, 3, 3, 1, 1, 9, 7, 2, 6]",1,0,1,1,0
31,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 1, 1, 2, 0, 2, 1, 0, 1, 0, 0, 9, 0, 0, 0, 0, 1, 1, 0, 1, 3, 2, 0, 0, 0, 2, 2, 0, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 1, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 18, 1, 0, 0, 0, 5, 2, 1, 1, 2, 0, 1, 1, 1, 1, 2, 1, 0, 2, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 1, 4, 4, 1, 0, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 3, 1, 3, 4, 2, 0, 0, 0, 2, 0, 2, 1, 0, 3, 0, 0, 1, 0, 1, 3, 2, 1, 3, 0, 0, 3, 0, 4, 1, 1, 1, 3, 8, 3, 1, 2, 2, 5, 1, 7, 7, 0, 5, 3, 7]",1,0,0,0,0
32,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 4, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 4, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 2, 2, 0, 5]",0,1,0,1,0
33,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 7, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 2, 3, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 2, 1, 0, 1, 2, 1, 4, 4, 2, 4, 5, 12]",1,1,0,1,1
34,"[0, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 5, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 3, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 2, 3, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 4, 1, 0, 2, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 4, 0, 0, 1, 0, 3, 1, 0, 1, 0, 4, 1, 2, 1, 0, 0, 2, 0, 23, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1, 1, 1, 1, 2, 3, 0, 0, 0, 0, 0, 4]",1,1,1,1,1
35,"[0, 3, 2, 0, 1, 0, 2, 1, 0, 1, 0, 1, 3, 0, 1, 3, 0, 0, 0, 0, 0, 4, 1, 0, 2, 0, 5, 2, 2, 0, 0, 0, 1, 1, 1, 1, 0, 2, 1, 2, 1, 1, 2, 1, 0, 1, 1, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 2, 3, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 4, 0, 4, 0, 1, 1, 0, 1, 1, 1, 2, 1, 1, 3, 0, 0, 2, 2, 0, 4, 1, 0, 2, 1, 0, 1, 0, 0, 1, 0, 0, 2, 2, 2, 1, 0, 4, 3, 0, 3, 1, 2, 4, 4, 0, 7, 1, 7, 1, 1, 1, 0, 1, 0, 4, 4, 1, 0, 2, 5, 0, 2, 1, 1, 7, 0, 3, 4, 1, 2, 2, 3, 2, 4, 8, 1, 3, 5, 1, 2, 5, 2, 3, 5, 1, 3, 9, 2, 2, 3, 7, 5, 5, 13, 10, 4, 13, 7, 10, 8, 10, 4, 1, 10, 5, 3, 8, 2, 5, 18, 5, 7, 18, 1, 6, 8, 4, 15, 13, 8, 3, 3, 2, 18, 7, 28]",1,1,1,0,0
36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 4, 1, 0, 0, 1, 0, 1, 2, 1, 1, 0, 1, 1, 0, 1, 2, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 3, 1, 1, 0, 0, 1, 5, 1, 0, 0, 2, 6, 1, 2]",1,0,0,1,0
37,"[0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 8, 4, 0, 5, 0, 3, 0, 7, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 4, 0, 1, 3, 0, 7, 4, 0, 0, 6, 0, 0, 1, 4, 0, 0, 2, 6, 1, 4, 3, 0, 0, 1, 2, 0, 1]",0,0,0,1,0
38,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1,0,1,1
39,"[2, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 2, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 2, 1, 2, 1, 0, 1, 1, 1, 2, 0, 5, 1, 0, 0, 1, 1, 0, 0, 1, 9, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 3, 2, 3, 2, 1, 0, 0, 2, 3, 1, 0, 1, 0, 3, 1, 0, 1, 0, 2, 0, 5, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 3, 3, 13, 1, 1, 5, 1, 2, 5, 4, 1, 0, 1, 8, 0, 0, 2, 10, 3, 1, 5, 1, 2, 0, 1, 4, 4, 4, 2, 1, 0, 0, 3, 4, 6, 4, 3, 0, 0, 1, 0, 0, 4, 3, 6, 8, 2, 5, 4, 3, 6, 1, 1, 8, 3, 3, 5, 4, 4, 3, 5, 8, 4, 5, 4, 2, 6, 9, 1, 13, 10, 4, 7, 5, 6, 6, 6, 5, 5, 13, 9, 10, 21]",0,1,0,0,1
40,"[0, 3, 2, 0, 2, 8, 1, 1, 1, 0, 1, 3, 1, 4, 3, 1, 0, 1, 1, 0, 1, 2, 0, 2, 2, 1, 0, 5, 0, 7, 1, 0, 1, 1, 2, 2, 1, 2, 1, 0, 0, 3, 3, 0, 2, 2, 3, 5, 0, 1, 0, 1, 0, 1, 1, 4, 4, 1, 4, 1, 1, 5, 1, 1, 4, 2, 0, 0, 7, 12, 0, 3, 0, 2, 1, 4, 1, 0, 1, 2, 1, 1, 0, 1, 7, 6, 3, 3, 1, 2, 2, 2, 2, 0, 5, 2, 8, 2, 4, 3, 3, 3, 3, 3, 0, 2, 1, 1, 0, 0, 6, 1, 2, 6, 1, 5, 4, 0, 1, 5, 3, 3, 3, 9, 1, 7, 1, 2, 5, 4, 4, 3, 2, 1, 14, 2, 4, 3, 4, 1, 5, 0, 4, 7, 6, 3, 0, 3, 8, 5, 6, 0, 1, 5, 4, 5, 5, 5, 6, 4, 2, 6, 1, 4, 5, 4, 11, 7, 9, 27, 4, 6, 4, 9, 6, 2, 7, 8, 0, 2, 7, 8, 4, 3, 12, 8, 4, 0, 6, 11, 59, 11, 18, 27, 15, 13, 2, 20, 12, 48]",1,1,1,1,0
41,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 1, 6, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 4, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 12, 5, 1, 3, 1, 1, 3, 0, 0, 3, 2, 0, 2, 1, 1, 0, 1, 1, 7, 2, 1, 5, 1, 2, 7, 0, 0, 2, 5, 1, 4, 1, 4, 0, 1, 0, 6, 2, 3, 4, 2, 1, 1, 1, 0, 12, 2, 1, 2, 3, 5, 14, 5, 3, 4, 2, 4, 3, 1, 2, 2, 1, 6, 13, 6, 2, 1, 1, 4, 7, 1, 4, 3, 3, 9, 0, 6, 0, 0, 3, 1, 1, 7, 2, 3, 3, 5, 8, 5, 2, 4, 10, 3, 2, 7, 10, 0, 0, 10, 19, 10, 35]",1,0,0,0,1
42,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 1, 1, 0, 4, 0, 1, 0, 1, 0, 0, 1, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 0, 1, 0, 0, 3, 1, 0, 3, 2, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 3, 1, 0, 0, 0, 1, 2, 3, 0, 2, 2, 2, 0, 2, 0, 0, 0, 2, 0, 1, 3, 2, 1, 1, 0, 0, 1, 1, 0, 0, 3, 3, 0, 0, 5, 2, 7, 17]",1,0,1,0,0
43,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 0, 0, 1, 0, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 2, 1, 0, 0, 0, 2, 0, 0, 2, 3, 1, 2, 0, 4, 3, 1, 0, 4, 0, 1, 0, 2, 2, 4, 4, 3, 1, 3, 3]",1,0,0,1,1
